date,time,tempC,tempF,pressurePA,presureMB,light,R,G,B,heading,magnetometer0,magnetometer1,magnetometer2,accelX,accelY,accelZ,anal0,anal1,anal2,anal3,leds
2018-03-14,00:05,25.63,78.14,97198.56,971.99,401,166,133,137,335.0,2079,-1172,-5029,-0.01,0.04,1.02,0.561,0.582,0.528,0.561,ON
2018-03-14,00:35,25.94,78.69,97164.61,971.65,402,166,133,138,335.24,2094,-1203,-5040,-0.01,0.05,1.0,0.573,0.519,0.567,0.573,ON
2018-03-14,01:05,25.89,78.6,97129.93,971.3,402,166,133,138,335.66,2068,-1201,-5011,-0.01,0.05,1.0,0.576,0.525,0.591,0.561,ON
2018-03-14,01:35,26.01,78.82,97104.95,971.05,399,166,133,138,334.44,2115,-1178,-5001,-0.01,0.05,1.0,0.543,0.57,0.531,0.621,ON
2018-03-14,02:05,25.91,78.64,97092.01,970.92,210,108,78,88,336.34,2073,-1173,-5022,-0.01,0.04,0.99,0.516,0.564,0.552,0.543,ON
2018-03-14,02:35,25.89,78.61,97063.89,970.64,210,108,78,88,334.08,2093,-1212,-5038,-0.01,0.05,1.0,0.528,0.594,0.519,0.609,ON
2018-03-14,03:05,26.06,78.9,97022.24,970.22,210,108,78,88,335.54,2065,-1226,-5073,-0.01,0.05,1.01,0.54,0.579,0.537,0.618,ON
2018-03-14,03:35,26.23,79.22,96989.94,969.9,210,108,78,88,334.72,2098,-1191,-5041,-0.01,0.05,0.99,0.564,0.537,0.555,0.588,ON
2018-03-14,04:05,26.38,79.49,96966.35,969.66,210,108,78,88,334.42,2085,-1240,-4979,-0.01,0.05,1.0,0.51,0.564,0.552,0.555,ON
2018-03-14,04:35,26.25,79.24,96949.37,969.49,210,108,78,88,334.91,2082,-1246,-5018,-0.01,0.05,1.0,0.513,0.594,0.525,0.6,ON
2018-03-14,05:05,26.35,79.43,96934.94,969.35,210,108,78,88,334.21,2085,-1201,-5022,-0.01,0.05,1.0,0.573,0.525,0.564,0.573,ON
